Date,Price
2017-03-26,1254.25
2017-03-23,1245.67
2017-03-22,1244.96
2017-03-21,1248.71
2017-03-20,1244.32
2017-03-19,1234.05
2017-03-16,1229.35
2017-03-15,1226.15
2017-03-14,1219.3
2017-03-13,1198.46
2017-03-12,1203.98
2017-03-09,1204.53
2017-03-08,1200.95
2017-03-07,1208.12
2017-03-06,1215.68
2017-03-05,1225.37
2017-03-02,1234.5
2017-03-01,1234.19
2017-02-28,1249.57
2017-02-27,1248.28
2017-02-26,1252.83
2017-02-23,1257.05
2017-02-22,1249.28
2017-02-21,1237.31
2017-02-20,1235.78
2017-02-19,1237.36
2017-02-16,1234.91
2017-02-15,1239.4
2017-02-14,1233.33
2017-02-13,1228.52
2017-02-12,1225.39
2017-02-09,1233.75
2017-02-08,1228.63
2017-02-07,1241.53
2017-02-06,1233.63
2017-02-05,1235.37
2017-02-02,1220.05
2017-02-01,1215.81
2017-01-31,1209.67
2017-01-30,1210.6
2017-01-29,1195.38
2017-01-26,1191.59
2017-01-25,1188.62
2017-01-24,1200.08
2017-01-23,1208.99
2017-01-22,1217.99
2017-01-19,1210.03
2017-01-18,1204.62
2017-01-17,1203.95
2017-01-16,1216.95
2017-01-15,1202.42
2017-01-12,1197.42
2017-01-11,1195.38
2017-01-10,1191.56
2017-01-09,1187.57
2017-01-08,1180.52
2017-01-05,1172.64
2017-01-04,1179.91
2017-01-03,1163.02
2017-01-02,1158.55
2016-12-29,1152.16
2016-12-28,1157.23
2016-12-27,1141
2016-12-26,1138.4
2016-12-22,1133.48
2016-12-21,1128.15
2016-12-20,1131.12
2016-12-19,1132.15
2016-12-18,1138.58
2016-12-15,1134.77
2016-12-14,1127.89
2016-12-13,1143.09
2016-12-12,1157.9
2016-12-11,1162.11
2016-12-08,1158.44
2016-12-07,1170.44
2016-12-06,1173.86
2016-12-05,1169.5
2016-12-04,1169.68
2016-12-01,1177.04
2016-11-30,1171.42
2016-11-29,1173.01
2016-11-28,1188.23
2016-11-27,1192.86
2016-11-24,1183.85
2016-11-23,1184.04
2016-11-22,1187.29
2016-11-21,1212.14
2016-11-20,1214.02
2016-11-17,1208.59
2016-11-16,1216.04
2016-11-15,1224.71
2016-11-14,1228.51
2016-11-13,1220.16
2016-11-10,1227.36
2016-11-09,1258.95
2016-11-08,1277.34
2016-11-07,1275.81
2016-11-06,1281.59
2016-11-03,1304.41
2016-11-02,1302.29
2016-11-01,1296.1
2016-10-31,1287.93
2016-10-30,1276.99
2016-10-27,1275.84
2016-10-26,1268.31
2016-10-25,1266.84
2016-10-24,1273.64
2016-10-23,1264.26
2016-10-20,1266.9
2016-10-19,1265.82
2016-10-18,1269.21
2016-10-17,1262.44
2016-10-16,1255.41
2016-10-13,1250.61
2016-10-12,1257.82
2016-10-11,1255.09
2016-10-10,1252.54
2016-10-09,1259.52
2016-10-06,1256.63
2016-10-05,1254.62
