USA,,,1993,33,1993;08;09,1993-08-09,,,,,,,,,,,,,1.06,,All
USA,,,1993,34,1993;08;16,1993-08-16,,,,,,,,,,,,,1.059,,All
USA,,,1993,35,1993;08;23,1993-08-23,,,,,,,,,,,,,1.065,,All
USA,,,1993,36,1993;08;30,1993-08-30,,,,,,,,,,,,,1.062,,All
USA,,,1993,37,1993;09;06,1993-09-06,,,,,,,,,,,,,1.055,,All
USA,,,1993,38,1993;09;13,1993-09-13,,,,,,,,,,,,,1.051,,All
USA,,,1993,39,1993;09;20,1993-09-20,,,,,,,,,,,,,1.045,,All
USA,,,1993,40,1993;09;27,1993-09-27,,,,,,,,,,,,,1.047,,All
USA,,,1993,41,1993;10;04,1993-10-04,,,,,,,,,,,,,1.092,,All
USA,,,1993,42,1993;10;11,1993-10-11,,,,,,,,,,,,,1.09,,All
USA,,,1993,43,1993;10;18,1993-10-18,,,,,,,,,,,,,1.093,,All
USA,,,1993,44,1993;10;25,1993-10-25,,,,,,,,,,,,,1.092,,All
USA,,,1993,45,1993;11;01,1993-11-01,,,,,,,,,,,,,1.084,,All
USA,,,1993,46,1993;11;08,1993-11-08,,,,,,,,,,,,,1.075,,All
USA,,,1993,47,1993;11;15,1993-11-15,,,,,,,,,,,,,1.064,,All
USA,,,1993,48,1993;11;22,1993-11-22,,,,,,,,,,,,,1.058,,All
USA,,,1993,49,1993;11;29,1993-11-29,,,,,,,,,,,,,1.051,,All
USA,,,1993,50,1993;12;06,1993-12-06,,,,,,,,,,,,,1.036,,All
USA,,,1993,51,1993;12;13,1993-12-13,,,,,,,,,,,,,1.018,,All
USA,,,1993,52,1993;12;20,1993-12-20,,,,,,,,,,,,,1.003,,All
USA,,,1993,1,1993;12;27,1993-12-27,,,,,,,,,,,,,0.999,,All
USA,,,1994,2,1994;01;03,1994-01-03,,,,,,,,,,,,,0.992,,All
USA,,,1994,3,1994;01;10,1994-01-10,,,,,,,,,,,,,0.995,,All
USA,,,1994,4,1994;01;17,1994-01-17,,,,,,,,,,,,,1.001,,All
USA,,,1994,5,1994;01;24,1994-01-24,,,,,,,,,,,,,0.999,,All
USA,,,1994,6,1994;01;31,1994-01-31,,,,,,,,,,,,,1.005,,All
USA,,,1994,7,1994;02;07,1994-02-07,,,,,,,,,,,,,1.007,,All
USA,,,1994,8,1994;02;14,1994-02-14,,,,,,,,,,,,,1.016,,All
