Date,Price
03/13/17,1198.46
03/12/17,1203.98
03/09/17,1204.53
03/08/17,1200.95
03/07/17,1208.12
03/06/17,1215.68
03/05/17,1225.37
03/02/17,1234.5
03/01/17,1234.19
02/28/17,1249.57
02/27/17,1248.28
02/26/17,1252.83
02/23/17,1257.05
02/22/17,1249.28
02/21/17,1237.31
02/20/17,1235.78
02/19/17,1237.36
02/16/17,1234.91
02/15/17,1239.4
02/14/17,1233.33
02/13/17,1228.52
02/12/17,1225.39
02/09/17,1233.75
02/08/17,1228.63
02/07/17,1241.53
02/06/17,1233.63
02/05/17,1235.37
02/02/17,1220.05
02/01/17,1215.81
01/31/17,1209.67
01/30/17,1210.6
01/29/17,1195.38
01/26/17,1191.59
01/25/17,1188.62
01/24/17,1200.08
01/23/17,1208.99
01/22/17,1217.99
01/19/17,1210.03
01/18/17,1204.62
01/17/17,1203.95
01/16/17,1216.95
01/15/17,1202.42
01/12/17,1197.42
01/11/17,1195.38
01/10/17,1191.56
01/09/17,1187.57
01/08/17,1180.52
01/05/17,1172.64
01/04/17,1179.91
01/03/17,1163.02
01/02/17,1158.55
12/29/16,1152.16
12/28/16,1157.23
12/27/16,1141
12/26/16,1138.4
12/22/16,1133.48
12/21/16,1128.15
12/20/16,1131.12
12/19/16,1132.15
12/18/16,1138.58
12/15/16,1134.77
12/14/16,1127.89
12/13/16,1143.09
12/12/16,1157.9
12/11/16,1162.11
12/08/16,1158.44
12/07/16,1170.44
12/06/16,1173.86
12/05/16,1169.5
12/04/16,1169.68
12/01/16,1177.04
11/30/16,1171.42
11/29/16,1173.01
11/28/16,1188.23
11/27/16,1192.86
11/24/16,1183.85
11/23/16,1184.04
11/22/16,1187.29
11/21/16,1212.14
11/20/16,1214.02
11/17/16,1208.59
11/16/16,1216.04
11/15/16,1224.71
11/14/16,1228.51
11/13/16,1220.16
11/10/16,1227.36
11/09/16,1258.95
11/08/16,1277.34
11/07/16,1275.81
11/06/16,1281.59
11/03/16,1304.41
11/02/16,1302.29
11/01/16,1296.1
10/31/16,1287.93
10/30/16,1276.99
10/27/16,1275.84
10/26/16,1268.31
10/25/16,1266.84
10/24/16,1273.64
10/23/16,1264.26
10/20/16,1266.9
10/19/16,1265.82
10/18/16,1269.21
10/17/16,1262.44
10/16/16,1255.41
10/13/16,1250.61
10/12/16,1257.82
10/11/16,1255.09
10/10/16,1252.54
10/09/16,1259.52
10/06/16,1256.63
10/05/16,1254.62
10/04/16,1266.49
10/03/16,1267.93
10/02/16,1311.78
09/29/16,1316.06
09/28/16,1320.58
09/27/16,1321.83
09/26/16,1326.98
09/25/16,1337.66
09/22/16,1338.85
09/21/16,1336.85
09/20/16,1335.27
09/19/16,1314.77
09/18/16,1313.29
09/15/16,1309.73
09/14/16,1314.15
09/13/16,1322.52
09/12/16,1318.44
09/11/16,1327.55
09/08/16,1328.03
09/07/16,1337.6
09/06/16,1344.77
09/05/16,1349.89
09/04/16,1326.98
09/01/16,1324.87
08/31/16,1313.52
08/30/16,1308.8
08/29/16,1311.11
08/28/16,1323.06
08/25/16,1321.89
08/24/16,1321.49
08/23/16,1324.37
08/22/16,1337.75
08/21/16,1338.7
08/18/16,1341.04
08/17/16,1352.62
08/16/16,1348.46
08/15/16,1346.28
08/14/16,1339.4
08/11/16,1336.75
08/10/16,1338.66
08/09/16,1346.42
08/08/16,1340.32
08/07/16,1335.38
08/04/16,1337.05
08/03/16,1361.25
08/02/16,1357.9
08/01/16,1363.39
07/31/16,1352.79
07/28/16,1351.22
07/27/16,1335.32
07/26/16,1340
07/25/16,1320.19
07/24/16,1315.68
07/21/16,1322.54
07/20/16,1331.04
07/19/16,1315.81
07/18/16,1331.85
07/17/16,1328.7
07/14/16,1338.41
07/13/16,1334.96
07/12/16,1342.48
07/11/16,1332.83
07/10/16,1355.17
07/07/16,1365.13
07/06/16,1360.63
07/05/16,1363.55
07/04/16,1353.75
07/03/16,1350.88
06/30/16,1342.57
06/29/16,1322.19
06/28/16,1318.87
06/27/16,1311.73
06/26/16,1324.26
06/23/16,1315.78
06/22/16,1256.33
06/21/16,1266.09
06/20/16,1267.93
06/19/16,1289.59
06/16/16,1298.67
06/15/16,1278.56
06/14/16,1291.64
06/13/16,1285.48
06/12/16,1283.57
06/09/16,1274.19
06/08/16,1269.43
06/07/16,1262.54
06/06/16,1243.74
06/05/16,1245.17
06/02/16,1244.65
06/01/16,1210.88
05/31/16,1212.82
05/30/16,1215.31
05/29/16,1205
05/26/16,1211.76
05/25/16,1219.7
05/24/16,1224.12
05/23/16,1227.08
05/22/16,1248.92
05/19/16,1252.03
05/18/16,1254.38
05/17/16,1258.38
05/16/16,1278.71
05/15/16,1274.09
05/12/16,1273.41
05/11/16,1263.69
05/10/16,1277.16
05/09/16,1265.49
05/08/16,1263.8
05/05/16,1288.91
05/04/16,1276.91
05/03/16,1277.42
05/02/16,1286.57
05/01/16,1291.55
04/28/16,1293.77
04/27/16,1265.67
04/26/16,1245.63
04/25/16,1243.23
04/24/16,1237.85
04/21/16,1232.85
04/20/16,1247.93
04/19/16,1244.12
04/18/16,1250.17
04/17/16,1232.39
04/14/16,1233.86
04/13/16,1227.73
04/12/16,1242.35
04/11/16,1255.4
04/10/16,1257.76
04/07/16,1240.61
04/06/16,1240.27
04/05/16,1222.43
04/04/16,1231.09
04/03/16,1215.54
03/31/16,1222.27
03/30/16,1232.53
03/29/16,1223.93
03/28/16,1242.06
03/27/16,1221.5
03/23/16,1216.92
03/22/16,1219.9
03/21/16,1248.3
03/20/16,1243.63
03/17/16,1255.34
03/16/16,1257.81
03/15/16,1262.38
03/14/16,1232.46
03/13/16,1235.19
03/10/16,1249.48
03/09/16,1272.1
03/08/16,1253.16
03/07/16,1261.5
03/06/16,1267.17
03/03/16,1258.98
03/02/16,1264.1
03/01/16,1239.82
02/29/16,1231.99
02/28/16,1238.38
02/25/16,1223.44
02/24/16,1232.87
02/23/16,1228.64
02/22/16,1225.47
02/21/16,1208.47
02/18/16,1227.45
02/17/16,1230.68
02/16/16,1208.28
02/15/16,1200.34
02/14/16,1208.54
02/11/16,1238.18
02/10/16,1246.59
02/09/16,1196.96
02/08/16,1188.98
02/07/16,1189
02/04/16,1173.27
02/03/16,1155.42
02/02/16,1142.38
02/01/16,1128.81
01/31/16,1128.3
01/28/16,1118.14
01/27/16,1113.9
01/26/16,1124.71
01/25/16,1119.6
01/24/16,1107.75
01/21/16,1097.87
01/20/16,1101.13
01/19/16,1100.74
01/18/16,1087.27
01/17/16,1089.21
01/14/16,1088.69
01/13/16,1078.07
01/12/16,1093.37
01/11/16,1086.47
01/10/16,1093.95
01/07/16,1103.92
01/06/16,1108.76
01/05/16,1093.61
01/04/16,1077.51
01/03/16,1074.35
12/30/15,1061.06
12/29/15,1061.29
12/28/15,1068.9
12/27/15,1068.66
12/23/15,1075.82
12/22/15,1070.03
12/21/15,1072.59
12/20/15,1078.28
12/17/15,1065.97
12/16/15,1051.04
12/15/15,1072.05
12/14/15,1060.83
12/13/15,1059.56
12/10/15,1074.74
12/09/15,1070.57
12/08/15,1072.51
12/07/15,1074.65
12/06/15,1071.14
12/03/15,1086.89
12/02/15,1062.05
12/01/15,1053.54
11/30/15,1069.19
11/29/15,1063.34
11/26/15,1059.98
11/25/15,1071.52
11/24/15,1070.95
11/23/15,1075.55
11/22/15,1069.09
11/19/15,1078.13
11/18/15,1082.12
11/17/15,1070.54
