"","Day","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"286",174,NA,NA,NA,NA,NA,3.639,NA,NA,NA,NA,NA
"234",175,NA,NA,NA,NA,3.498,NA,NA,NA,NA,NA,NA
"495",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.745,NA
"182",177,NA,NA,NA,3.378,NA,NA,NA,NA,2.201,NA,NA
"130",178,NA,NA,3.513,NA,NA,NA,NA,NA,NA,NA,NA
"78",179,NA,2.712,NA,NA,NA,NA,NA,2.25,NA,NA,NA
"26",180,2.593,NA,NA,NA,NA,NA,2.713,NA,NA,NA,NA
"287",181,NA,NA,NA,NA,NA,3.635,NA,NA,NA,NA,NA
"235",182,NA,NA,NA,NA,3.41,NA,NA,NA,NA,NA,NA
"496",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.762,NA
"183",184,NA,NA,NA,3.291,NA,NA,NA,NA,2.163,NA,NA
"131",185,NA,NA,3.534,NA,NA,NA,NA,NA,NA,NA,NA
"79",186,NA,2.676,NA,NA,NA,NA,NA,2.205,NA,NA,NA
"27",187,2.563,NA,NA,NA,NA,NA,2.702,NA,NA,NA,NA
"288",188,NA,NA,NA,NA,NA,3.605,NA,NA,NA,NA,NA
"236",189,NA,NA,NA,NA,3.413,NA,NA,NA,NA,NA,NA
"497",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774,NA
"184",191,NA,NA,NA,3.357,NA,NA,NA,NA,2.21,NA,NA
"132",192,NA,NA,3.608,NA,NA,NA,NA,NA,NA,NA,NA
"80",193,NA,2.666,NA,NA,NA,NA,NA,2.171,NA,NA,NA
"28",194,2.479,NA,NA,NA,NA,NA,2.694,NA,NA,NA,NA
"289",195,NA,NA,NA,NA,NA,3.56,NA,NA,NA,NA,NA
"237",196,NA,NA,NA,NA,3.57,NA,NA,NA,NA,NA,NA
"498",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,NA
"185",198,NA,NA,NA,3.364,NA,NA,NA,NA,2.188,NA,NA
"133",199,NA,NA,3.648,NA,NA,NA,NA,NA,NA,NA,NA
"81",200,NA,2.672,NA,NA,NA,NA,NA,2.148,NA,NA,NA
"29",201,2.411,NA,NA,NA,NA,NA,2.661,NA,NA,NA,NA
"290",202,NA,NA,NA,NA,NA,3.523,NA,NA,NA,NA,NA
"238",203,NA,NA,NA,NA,3.612,NA,NA,NA,NA,NA,NA
"499",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.754,NA
"186",205,NA,NA,NA,3.435,NA,NA,NA,NA,2.224,NA,NA
"134",206,NA,NA,3.667,NA,NA,NA,NA,NA,NA,NA,NA
"82",207,NA,2.703,NA,NA,NA,NA,NA,2.105,NA,NA,NA
"30",208,2.46,NA,NA,NA,NA,NA,2.605,NA,NA,NA,NA
"291",209,NA,NA,NA,NA,NA,3.468,NA,NA,NA,NA,NA
"239",210,NA,NA,NA,NA,3.57,NA,NA,NA,NA,NA,NA
"500",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.772,NA
"187",212,NA,NA,NA,3.45,NA,NA,NA,NA,2.269,NA,NA
"135",213,NA,NA,3.684,NA,NA,NA,NA,NA,NA,NA,NA
"83",214,NA,2.687,NA,NA,NA,NA,NA,2.091,NA,NA,NA
"31",215,2.511,NA,NA,NA,NA,NA,2.555,NA,NA,NA,NA
"292",216,NA,NA,NA,NA,NA,3.449,NA,NA,NA,NA,NA
"240",217,NA,NA,NA,NA,3.566,NA,NA,NA,NA,NA,NA
"501",218,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.781,NA
"188",219,NA,NA,NA,3.606,NA,NA,NA,NA,2.29,NA,NA
"136",220,NA,NA,3.646,NA,NA,NA,NA,NA,NA,NA,NA
"84",221,NA,2.74,NA,NA,NA,NA,NA,2.087,NA,NA,NA
"32",222,2.596,NA,NA,NA,NA,NA,2.505,NA,NA,NA,NA
"293",223,NA,NA,NA,NA,NA,3.447,NA,NA,NA,NA,NA
"241",224,NA,NA,NA,NA,3.493,NA,NA,NA,NA,NA,NA
"502",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774,NA
"189",226,NA,NA,NA,3.662,NA,NA,NA,NA,2.301,NA,NA
"137",227,NA,NA,3.576,NA,NA,NA,NA,NA,NA,NA,NA
"85",228,NA,2.696,NA,NA,NA,NA,NA,2.096,NA,NA,NA
"33",229,2.58,NA,NA,NA,NA,NA,2.608,NA,NA,NA,NA
"294",230,NA,NA,NA,NA,NA,3.408,NA,NA,NA,NA,NA
"242",231,NA,NA,NA,NA,3.496,NA,NA,NA,NA,NA,NA
"503",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.755,NA
"190",233,NA,NA,NA,3.682,NA,NA,NA,NA,2.273,NA,NA
"138",234,NA,NA,3.552,NA,NA,NA,NA,NA,NA,NA,NA
"86",235,NA,2.653,NA,NA,NA,NA,NA,2.136,NA,NA,NA
"34",236,2.572,NA,NA,NA,NA,NA,2.534,NA,NA,NA,NA
"295",237,NA,NA,NA,NA,NA,3.397,NA,NA,NA,NA,NA
"243",238,NA,NA,NA,NA,3.504,NA,NA,NA,NA,NA,NA
"504",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.761,NA
"191",240,NA,NA,NA,3.722,NA,NA,NA,NA,2.322,NA,NA
"139",241,NA,NA,3.601,NA,NA,NA,NA,NA,NA,NA,NA
"87",242,NA,2.64,NA,NA,NA,NA,NA,2.187,NA,NA,NA
"35",243,2.553,NA,NA,NA,NA,NA,2.406,NA,NA,NA,NA
"296",244,NA,NA,NA,NA,NA,3.41,NA,NA,NA,NA,NA
"244",245,NA,NA,NA,NA,3.575,NA,NA,NA,NA,NA,NA
"505",246,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.759,NA
"192",247,NA,NA,NA,3.797,NA,NA,NA,NA,2.604,NA,NA
"140",248,NA,NA,3.643,NA,NA,NA,NA,NA,NA,NA,NA
"88",249,NA,2.647,NA,NA,NA,NA,NA,2.17,NA,NA,NA
"36",250,2.519,NA,NA,NA,NA,NA,2.337,NA,NA,NA,NA
"297",251,NA,NA,NA,NA,NA,3.406,NA,NA,NA,NA,NA
"245",252,NA,NA,NA,NA,3.54,NA,NA,NA,NA,NA,NA
"506",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.765,NA
"193",254,NA,NA,NA,3.799,NA,NA,NA,NA,2.61,NA,NA
"141",255,NA,NA,3.629,NA,NA,NA,NA,NA,NA,NA,NA
"89",256,NA,2.695,NA,NA,NA,NA,NA,2.138,NA,NA,NA
"37",257,2.499,NA,NA,NA,NA,NA,2.28,NA,NA,NA,NA
"298",258,NA,NA,NA,NA,NA,3.352,NA,NA,NA,NA,NA
"246",259,NA,NA,NA,NA,3.475,NA,NA,NA,NA,NA,NA
"507",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.771,NA
"194",261,NA,NA,NA,3.832,NA,NA,NA,NA,2.559,NA,NA
"142",262,NA,NA,3.56,NA,NA,NA,NA,NA,NA,NA,NA
"90",263,NA,2.703,NA,NA,NA,NA,NA,2.17,NA,NA,NA
"38",264,2.477,NA,NA,NA,NA,NA,2.237,NA,NA,NA,NA
"299",265,NA,NA,NA,NA,NA,3.296,NA,NA,NA,NA,NA
"247",266,NA,NA,NA,NA,3.425,NA,NA,NA,NA,NA,NA
"508",267,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.779,NA
"195",268,NA,NA,NA,3.775,NA,NA,NA,NA,2.508,NA,NA
"143",269,NA,NA,3.461,NA,NA,NA,NA,NA,NA,NA,NA
"91",270,NA,2.668,NA,NA,NA,NA,NA,2.166,NA,NA,NA
"39",271,2.425,NA,NA,NA,NA,NA,2.246,NA,NA,NA,NA
"300",272,NA,NA,NA,NA,NA,3.304,NA,NA,NA,NA,NA
"248",273,NA,NA,NA,NA,3.354,NA,NA,NA,NA,NA,NA
"509",274,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.796,NA
"196",275,NA,NA,NA,3.75,NA,NA,NA,NA,2.493,NA,NA
"144",276,NA,NA,3.381,NA,NA,NA,NA,NA,NA,NA,NA
"92",277,NA,2.705,NA,NA,NA,NA,NA,2.184,NA,NA,NA
"40",278,2.396,NA,NA,NA,NA,NA,2.252,NA,NA,NA,NA
"301",279,NA,NA,NA,NA,NA,3.246,NA,NA,NA,NA,NA
"249",280,NA,NA,NA,NA,3.298,NA,NA,NA,NA,NA,NA
"510",281,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.829,NA
"197",282,NA,NA,NA,3.742,NA,NA,NA,NA,2.426,NA,NA
"145",283,NA,NA,3.368,NA,NA,NA,NA,NA,NA,NA,NA
"93",284,NA,2.793,NA,NA,NA,NA,NA,2.216,NA,NA,NA
"41",285,2.432,NA,NA,NA,NA,NA,2.283,NA,NA,NA,NA
